AreaCode,AreaName,Livestock_Type_Code,Livestock_Type,ParamName,ParamValue,Units
20,Botswana,1052,"Chicken, layers",TAM,1.8,kg/animal
20,Botswana,1053,"Chicken, broilers",TAM,0.9,kg/animal
20,Botswana,1068,Ducks,TAM,2.7,kg/animal
20,Botswana,1079,Turkeys,TAM,6.8,kg/animal
20,Botswana,976,Sheep,TAM,28,kg/animal
20,Botswana,1016,Goats,TAM,30,kg/animal
20,Botswana,1096,Horses,TAM,238,kg/animal
20,Botswana,1107,Asses,TAM,130,kg/animal
20,Botswana,1110,Mules,TAM,130,kg/animal
20,Botswana,1126,Camels,TAM,217,kg/animal
20,Botswana,1177,Llamas,TAM,120,kg/animal
21,Brazil,960,"Cattle, dairy",TAM,400,kg/animal
21,Brazil,961,"Cattle, non-dairy",TAM,305,kg/animal
21,Brazil,946,Buffalo,TAM,380,kg/animal
21,Brazil,1049,"Swine, market",TAM,28,kg/animal
21,Brazil,1051,"Swine, breeding",TAM,28,kg/animal
21,Brazil,1052,"Chicken, layers",TAM,1.8,kg/animal
21,Brazil,1053,"Chicken, broilers",TAM,0.9,kg/animal
21,Brazil,1068,Ducks,TAM,2.7,kg/animal
21,Brazil,1079,Turkeys,TAM,6.8,kg/animal
21,Brazil,976,Sheep,TAM,28,kg/animal
21,Brazil,1016,Goats,TAM,30,kg/animal
21,Brazil,1096,Horses,TAM,238,kg/animal
21,Brazil,1107,Asses,TAM,130,kg/animal
21,Brazil,1110,Mules,TAM,130,kg/animal
21,Brazil,1126,Camels,TAM,217,kg/animal
21,Brazil,1177,Llamas,TAM,120,kg/animal
22,Aruba,960,"Cattle, dairy",TAM,400,kg/animal
22,Aruba,961,"Cattle, non-dairy",TAM,305,kg/animal
22,Aruba,946,Buffalo,TAM,380,kg/animal
22,Aruba,1049,"Swine, market",TAM,28,kg/animal
22,Aruba,1051,"Swine, breeding",TAM,28,kg/animal
22,Aruba,1052,"Chicken, layers",TAM,1.8,kg/animal
22,Aruba,1053,"Chicken, broilers",TAM,0.9,kg/animal
22,Aruba,1068,Ducks,TAM,2.7,kg/animal
22,Aruba,1079,Turkeys,TAM,6.8,kg/animal
22,Aruba,976,Sheep,TAM,28,kg/animal
22,Aruba,1016,Goats,TAM,30,kg/animal
22,Aruba,1096,Horses,TAM,238,kg/animal
22,Aruba,1107,Asses,TAM,130,kg/animal
22,Aruba,1110,Mules,TAM,130,kg/animal
22,Aruba,1126,Camels,TAM,217,kg/animal
22,Aruba,1177,Llamas,TAM,120,kg/animal
23,Belize,960,"Cattle, dairy",TAM,400,kg/animal
23,Belize,961,"Cattle, non-dairy",TAM,305,kg/animal
23,Belize,946,Buffalo,TAM,380,kg/animal
23,Belize,1049,"Swine, market",TAM,28,kg/animal
23,Belize,1051,"Swine, breeding",TAM,28,kg/animal
23,Belize,1052,"Chicken, layers",TAM,1.8,kg/animal
23,Belize,1053,"Chicken, broilers",TAM,0.9,kg/animal
23,Belize,1068,Ducks,TAM,2.7,kg/animal
23,Belize,1079,Turkeys,TAM,6.8,kg/animal
23,Belize,976,Sheep,TAM,28,kg/animal
23,Belize,1016,Goats,TAM,30,kg/animal
23,Belize,1096,Horses,TAM,238,kg/animal
23,Belize,1107,Asses,TAM,130,kg/animal
23,Belize,1110,Mules,TAM,130,kg/animal
23,Belize,1126,Camels,TAM,217,kg/animal
23,Belize,1177,Llamas,TAM,120,kg/animal
24,British Indian Ocean Territory,960,"Cattle, dairy",TAM,275,kg/animal
24,British Indian Ocean Territory,961,"Cattle, non-dairy",TAM,173,kg/animal
24,British Indian Ocean Territory,946,Buffalo,TAM,380,kg/animal
24,British Indian Ocean Territory,1049,"Swine, market",TAM,28,kg/animal
24,British Indian Ocean Territory,1051,"Swine, breeding",TAM,28,kg/animal
24,British Indian Ocean Territory,1052,"Chicken, layers",TAM,1.8,kg/animal
24,British Indian Ocean Territory,1053,"Chicken, broilers",TAM,0.9,kg/animal
24,British Indian Ocean Territory,1068,Ducks,TAM,2.7,kg/animal
24,British Indian Ocean Territory,1079,Turkeys,TAM,6.8,kg/animal
24,British Indian Ocean Territory,976,Sheep,TAM,28,kg/animal
24,British Indian Ocean Territory,1016,Goats,TAM,30,kg/animal
24,British Indian Ocean Territory,1096,Horses,TAM,238,kg/animal
24,British Indian Ocean Territory,1107,Asses,TAM,130,kg/animal
24,British Indian Ocean Territory,1110,Mules,TAM,130,kg/animal
24,British Indian Ocean Territory,1126,Camels,TAM,217,kg/animal
24,British Indian Ocean Territory,1177,Llamas,TAM,120,kg/animal
25,Solomon Islands,960,"Cattle, dairy",TAM,500,kg/animal
25,Solomon Islands,961,"Cattle, non-dairy",TAM,330,kg/animal
25,Solomon Islands,946,Buffalo,TAM,380,kg/animal
25,Solomon Islands,1049,"Swine, market",TAM,45,kg/animal
25,Solomon Islands,1051,"Swine, breeding",TAM,180,kg/animal
25,Solomon Islands,1052,"Chicken, layers",TAM,1.8,kg/animal
25,Solomon Islands,1053,"Chicken, broilers",TAM,0.9,kg/animal
25,Solomon Islands,1068,Ducks,TAM,2.7,kg/animal
25,Solomon Islands,1079,Turkeys,TAM,6.8,kg/animal
25,Solomon Islands,976,Sheep,TAM,28,kg/animal
25,Solomon Islands,1016,Goats,TAM,30,kg/animal
25,Solomon Islands,1096,Horses,TAM,238,kg/animal
25,Solomon Islands,1107,Asses,TAM,130,kg/animal
25,Solomon Islands,1110,Mules,TAM,130,kg/animal
25,Solomon Islands,1126,Camels,TAM,217,kg/animal
25,Solomon Islands,1177,Llamas,TAM,120,kg/animal
26,Brunei Darussalam,960,"Cattle, dairy",TAM,350,kg/animal
26,Brunei Darussalam,961,"Cattle, non-dairy",TAM,319,kg/animal
26,Brunei Darussalam,946,Buffalo,TAM,380,kg/animal
26,Brunei Darussalam,1049,"Swine, market",TAM,28,kg/animal
26,Brunei Darussalam,1051,"Swine, breeding",TAM,28,kg/animal
26,Brunei Darussalam,1052,"Chicken, layers",TAM,1.8,kg/animal
26,Brunei Darussalam,1053,"Chicken, broilers",TAM,0.9,kg/animal
26,Brunei Darussalam,1068,Ducks,TAM,2.7,kg/animal
26,Brunei Darussalam,1079,Turkeys,TAM,6.8,kg/animal
26,Brunei Darussalam,976,Sheep,TAM,28,kg/animal
26,Brunei Darussalam,1016,Goats,TAM,30,kg/animal
26,Brunei Darussalam,1096,Horses,TAM,238,kg/animal
26,Brunei Darussalam,1107,Asses,TAM,130,kg/animal
26,Brunei Darussalam,1110,Mules,TAM,130,kg/animal
26,Brunei Darussalam,1126,Camels,TAM,217,kg/animal
26,Brunei Darussalam,1177,Llamas,TAM,120,kg/animal
27,Bulgaria,960,"Cattle, dairy",TAM,550,kg/animal
27,Bulgaria,961,"Cattle, non-dairy",TAM,391,kg/animal
27,Bulgaria,946,Buffalo,TAM,380,kg/animal
27,Bulgaria,1049,"Swine, market",TAM,50,kg/animal
27,Bulgaria,1051,"Swine, breeding",TAM,180,kg/animal
27,Bulgaria,1052,"Chicken, layers",TAM,1.8,kg/animal
27,Bulgaria,1053,"Chicken, broilers",TAM,0.9,kg/animal
27,Bulgaria,1068,Ducks,TAM,2.7,kg/animal
27,Bulgaria,1079,Turkeys,TAM,6.8,kg/animal
27,Bulgaria,976,Sheep,TAM,48.5,kg/animal
27,Bulgaria,1016,Goats,TAM,38.5,kg/animal
27,Bulgaria,1096,Horses,TAM,377,kg/animal
27,Bulgaria,1107,Asses,TAM,130,kg/animal
27,Bulgaria,1110,Mules,TAM,130,kg/animal
27,Bulgaria,1126,Camels,TAM,217,kg/animal
27,Bulgaria,1177,Llamas,TAM,120,kg/animal
28,Myanmar,960,"Cattle, dairy",TAM,350,kg/animal
28,Myanmar,961,"Cattle, non-dairy",TAM,319,kg/animal
28,Myanmar,946,Buffalo,TAM,380,kg/animal
28,Myanmar,1049,"Swine, market",TAM,28,kg/animal
28,Myanmar,1051,"Swine, breeding",TAM,28,kg/animal
28,Myanmar,1052,"Chicken, layers",TAM,1.8,kg/animal
28,Myanmar,1053,"Chicken, broilers",TAM,0.9,kg/animal
28,Myanmar,1068,Ducks,TAM,2.7,kg/animal
28,Myanmar,1079,Turkeys,TAM,6.8,kg/animal
28,Myanmar,976,Sheep,TAM,28,kg/animal
28,Myanmar,1016,Goats,TAM,30,kg/animal
28,Myanmar,1096,Horses,TAM,238,kg/animal
28,Myanmar,1107,Asses,TAM,130,kg/animal
28,Myanmar,1110,Mules,TAM,130,kg/animal
28,Myanmar,1126,Camels,TAM,217,kg/animal
28,Myanmar,1177,Llamas,TAM,120,kg/animal
29,Burundi,960,"Cattle, dairy",TAM,275,kg/animal
29,Burundi,961,"Cattle, non-dairy",TAM,173,kg/animal
29,Burundi,946,Buffalo,TAM,380,kg/animal
29,Burundi,1049,"Swine, market",TAM,28,kg/animal
