"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1882","Agricult.Products, Total","897","Milk, whole dried","1","","040221, 040229","040221, 040229","22211"
"1882","Agricult.Products, Total","894","Milk, whole evaporated","1","","040291","040291","22221.01"
"1882","Agricult.Products, Total","882","Milk, whole fresh cow","1","","040120, 040130","040120, 040140, 040150","02211"
"1882","Agricult.Products, Total","982","Milk, whole fresh sheep","1","","040120, 040130","040120, 040140, 040150","02291"
"1882","Agricult.Products, Total","79","Millet","1","","100820","100821, 100829","0118"
"1882","Agricult.Products, Total","114","Mixes and doughs","1","","190120","190120","23180"
"1882","Agricult.Products, Total","165","Molasses","1","","170310, 170390","170310, 170390","23540"
"1882","Agricult.Products, Total","1110","Mules","1","","010190","010190","02133"
"1882","Agricult.Products, Total","449","Mushrooms and truffles","1","","070951, 070959","070951, 070959","01270"
"1882","Agricult.Products, Total","451","Mushrooms, canned","1","","200310, 200320, 200390","200310, 200390","21397.01"
"1882","Agricult.Products, Total","450","Mushrooms, dried","1","","071231, 071232, 071233, 071239","071231, 071232, 071233, 071239","21393.01"
"1882","Agricult.Products, Total","292","Mustard seed","1","","120750","120750","01442"
